2025-04-03 11:40:13 [INFO]: Loading Overrides...
2025-04-03 11:40:13 [INFO]: Loading World Types...
2025-04-03 11:40:13 [INFO]: - World Type for 'world' set to 'NORMAL'
2025-04-03 11:40:13 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2025-04-03 11:40:13 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2025-04-03 11:40:13 [INFO]: Loading Defaults...
2025-04-03 11:40:13 [INFO]: Loading Custom Worlds...
2025-04-03 11:40:13 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2025-04-03 11:40:13 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2025-04-03 11:40:13 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2025-04-03 11:40:14 [INFO]: Database PLAYERS:Players configured and loaded!
2025-04-03 11:40:14 [INFO]: Database QUEUE:Queue configured and loaded!
2025-04-03 11:40:14 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2025-04-03 11:40:14 [INFO]: Database COOLDOWN:world configured and loaded!
2025-04-03 11:40:14 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2025-04-03 11:40:14 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2025-04-03 11:40:14 [INFO]: Attempting to queue up some more safe locations...
2025-04-03 11:40:19 [INFO]: Queue position generated: id= default_world, database_ID= 1, location= x: -29, y: 64, z: -71, world: world
2025-04-03 11:44:04 [INFO]: Queue position generated: id= default_world_nether, database_ID= 26, location= x: -510, y: 75, z: 479, world: world_nether
2025-04-03 11:44:06 [INFO]: Queue position generated: id= default_world_nether, database_ID= 27, location= x: 81, y: 46, z: 376, world: world_nether
2025-04-03 11:44:07 [INFO]: Queue position generated: id= default_world_nether, database_ID= 28, location= x: 22, y: 43, z: 26, world: world_nether
2025-04-03 11:44:11 [INFO]: Queue position generated: id= default_world_nether, database_ID= 29, location= x: 893, y: 50, z: -600, world: world_nether
2025-04-03 11:44:12 [INFO]: Queue position generated: id= default_world_nether, database_ID= 30, location= x: -528, y: 88, z: 610, world: world_nether
2025-04-03 11:44:16 [INFO]: Queue position generated: id= default_world_nether, database_ID= 31, location= x: 799, y: 42, z: -949, world: world_nether
2025-04-03 11:44:19 [INFO]: Queue position generated: id= default_world_nether, database_ID= 32, location= x: 399, y: 88, z: 735, world: world_nether
2025-04-03 11:44:24 [INFO]: Queue position generated: id= default_world_nether, database_ID= 33, location= x: -548, y: 76, z: 551, world: world_nether
2025-04-03 11:44:28 [INFO]: Queue position generated: id= default_world_nether, database_ID= 34, location= x: 855, y: 40, z: -753, world: world_nether
2025-04-03 11:44:30 [INFO]: Queue position generated: id= default_world_nether, database_ID= 35, location= x: -536, y: 65, z: 679, world: world_nether
2025-04-03 11:44:33 [INFO]: Queue position generated: id= default_world_nether, database_ID= 36, location= x: -996, y: 33, z: -324, world: world_nether
2025-04-03 11:44:35 [INFO]: Queue position generated: id= default_world_nether, database_ID= 37, location= x: -237, y: 51, z: -944, world: world_nether
2025-04-03 11:44:36 [INFO]: Queue position generated: id= default_world_nether, database_ID= 38, location= x: 64, y: 110, z: -178, world: world_nether
2025-04-03 11:44:38 [INFO]: Queue position generated: id= default_world_nether, database_ID= 39, location= x: 595, y: 66, z: -99, world: world_nether
2025-04-03 11:44:40 [INFO]: Queue position generated: id= default_world_nether, database_ID= 40, location= x: -756, y: 77, z: -687, world: world_nether
2025-04-03 11:44:41 [INFO]: Queue position generated: id= default_world_nether, database_ID= 41, location= x: 386, y: 79, z: 723, world: world_nether
2025-04-03 11:44:44 [INFO]: Queue position generated: id= default_world_nether, database_ID= 42, location= x: -804, y: 86, z: 89, world: world_nether
2025-04-03 11:44:46 [INFO]: Queue position generated: id= default_world_nether, database_ID= 43, location= x: -652, y: 100, z: 81, world: world_nether
2025-04-03 11:44:48 [INFO]: Queue position generated: id= default_world_nether, database_ID= 44, location= x: -197, y: 69, z: -468, world: world_nether
2025-04-03 11:44:49 [INFO]: Queue position generated: id= default_world_nether, database_ID= 45, location= x: 21, y: 43, z: -266, world: world_nether
2025-04-03 11:44:53 [INFO]: Queue position generated: id= default_world_nether, database_ID= 46, location= x: 624, y: 84, z: -401, world: world_nether
2025-04-03 11:44:56 [INFO]: Queue position generated: id= default_world_nether, database_ID= 47, location= x: 940, y: 73, z: 503, world: world_nether
2025-04-03 11:44:59 [INFO]: Queue position generated: id= default_world_nether, database_ID= 48, location= x: 266, y: 77, z: 987, world: world_nether
2025-04-03 11:45:03 [INFO]: Queue position generated: id= default_world_nether, database_ID= 49, location= x: -709, y: 37, z: 294, world: world_nether
2025-04-03 11:45:05 [INFO]: Queue position generated: id= default_world_nether, database_ID= 50, location= x: -31, y: 41, z: 772, world: world_nether
2025-04-03 11:45:08 [INFO]: Queue position generated: id= default_world_nether, database_ID= 51, location= x: -316, y: 64, z: -67, world: world_nether
2025-04-03 11:45:10 [INFO]: Queue position generated: id= default_world_nether, database_ID= 52, location= x: -291, y: 57, z: 45, world: world_nether
2025-04-03 11:45:11 [INFO]: Queue position generated: id= default_world_nether, database_ID= 53, location= x: 27, y: 37, z: -976, world: world_nether
2025-04-03 11:45:13 [INFO]: Queue position generated: id= default_world_nether, database_ID= 54, location= x: 718, y: 94, z: -739, world: world_nether
2025-04-03 11:45:15 [INFO]: Queue position generated: id= default_world_nether, database_ID= 55, location= x: -694, y: 51, z: -699, world: world_nether
2025-04-03 11:45:17 [INFO]: Queue position generated: id= default_world_nether, database_ID= 56, location= x: -852, y: 82, z: -785, world: world_nether
2025-04-03 11:45:18 [INFO]: Queue position generated: id= default_world_nether, database_ID= 57, location= x: 795, y: 72, z: -418, world: world_nether
2025-04-03 11:45:19 [INFO]: Max queue reached for default_world_nether (amount: 32) lastCount: 0
2025-04-03 11:45:19 [INFO]: Queueing paused, max queue limit reached!
